Real_NO2,Real_NOx,Real_O3
5.43,6.18,52.45
5.11,5.45,49.39
5.76,6.23,43.65
7.0,7.52,37.5
6.73,7.73,36.08
7.02,8.13,38.64
7.4,7.78,40.23
7.61,8.19,37.48
8.2,8.72,35.52
6.94,7.15,36.24
6.66,6.94,36.92
5.76,5.97,37.58
6.48,7.13,36.98
6.56,7.08,37.06
6.18,5.91,37.46
5.43,5.47,39.14
5.7,5.3,40.03
5.34,5.58,40.59
4.99,5.07,41.26
4.67,4.3,41.93
4.61,4.49,42.39
4.7,4.69,41.95
4.4,4.46,41.81
4.55,4.42,41.43
4.4,4.34,41.16
4.25,4.26,40.89
4.38,4.3,40.55
4.32,4.09,41.71
4.23,4.3,45.42
4.25,4.53,46.04
3.71,3.88,53.21
3.79,4.05,56.12
4.13,4.3,56.42
4.28,4.49,57.18
4.57,4.7,56.56
4.76,5.13,55.48
5.83,5.97,54.04
6.98,7.57,53.48
8.61,9.2,53.84
6.98,7.67,55.46
8.38,9.7,53.96
8.26,9.29,55.7
6.5,7.23,57.24
7.44,8.32,56.28
8.13,8.89,53.62
7.13,7.78,52.17
8.34,9.24,49.79
8.09,8.93,48.44
9.37,10.81,48.12
8.05,8.63,50.77
7.86,8.8,48.02
6.35,7.02,49.05
7.04,7.15,50.87
5.03,5.28,52.51
6.39,7.06,50.17
5.74,6.14,50.67
6.5,7.36,51.55
4.7,5.53,55.2
5.13,5.66,61.41
3.86,4.25,65.2
3.61,3.61,66.06
3.61,3.69,65.84
3.23,3.0,66.9
2.08,1.78,68.84
2.24,1.99,68.11
1.82,1.55,68.43
1.49,1.45,68.3
1.4,1.43,66.89
1.8,1.57,66.66
2.47,2.39,66.43
2.43,2.39,67.16
2.79,2.75,64.75
4.19,3.94,64.27
6.29,6.45,62.78
5.1,5.22,65.72
3.9,3.98,68.65
5.55,5.72,66.17
6.83,7.69,60.54
9.47,11.02,61.23
11.02,12.85,58.77
11.46,13.6,58.97
9.26,10.73,61.65
6.87,8.28,63.68
6.69,7.63,63.94
7.4,9.22,62.98
6.08,6.9,64.32
5.66,7.06,65.18
5.47,6.69,65.38
6.18,8.09,65.1
5.89,7.0,66.04
6.23,7.57,66.58
5.57,6.56,67.87
6.56,7.73,66.58
5.78,6.71,67.67
6.04,7.19,68.57
5.64,6.92,69.21
4.88,6.12,69.49
4.76,5.91,69.77
5.22,6.29,69.21
4.17,4.95,70.39
3.61,4.51,71.13
3.02,3.61,70.87
2.91,3.21,71.47
2.07,2.52,73.04
2.37,2.6,74.0
4.09,4.05,72.92
3.12,2.83,71.45
3.23,2.93,70.74
2.85,2.93,71.55
2.89,2.64,71.68
1.38,1.47,71.5
1.4,1.26,72.08
1.11,1.01,72.83
2.12,2.2,68.43
2.52,2.47,64.0
1.64,1.55,66.89
2.01,1.74,66.7
2.49,2.2,64.76
2.37,2.37,64.76
1.57,1.57,64.75
2.89,3.23,70.05
3.9,3.9,68.28
4.65,4.63,60.85
4.76,5.07,60.8
8.18,8.88,59.84
11.59,12.7,58.89
14.04,16.14,57.3
15.74,18.99,55.26
13.5,15.03,60.41
14.08,15.24,57.76
15.17,17.35,50.45
15.5,20.56,47.98
16.26,20.48,49.21
12.91,15.8,53.74
12.18,15.72,53.5
10.58,14.27,54.68
10.08,13.08,55.32
8.95,11.59,56.28
10.04,13.22,54.74
9.47,11.74,54.12
10.75,13.98,53.46
10.52,13.6,54.84
12.78,15.61,53.33
13.14,15.76,52.67
14.25,16.46,48.93
11.05,13.0,55.28
6.16,7.54,69.87
7.46,8.68,68.99
7.99,9.08,66.42
5.16,5.87,67.1
6.43,7.13,68.47
7.06,7.34,62.61
7.25,8.15,61.67
2.95,3.54,68.81
3.0,3.42,69.83
2.41,3.02,68.49
3.23,3.4,66.44
2.7,2.96,65.0
2.39,2.45,62.88
2.14,2.41,62.59
1.34,1.32,64.56
1.28,1.55,65.96
1.17,1.36,66.42
1.07,0.86,66.89
1.38,1.34,65.06
1.68,1.82,62.45
1.28,1.59,61.61
1.36,1.59,62.86
1.95,2.1,62.04
2.54,2.62,61.21
3.27,3.35,60.85
3.48,3.44,60.8
4.84,5.45,62.41
6.71,6.98,60.54
12.28,13.54,56.22
15.47,19.05,53.05
12.28,13.92,56.04
12.58,14.23,55.24
15.36,18.32,51.51
11.69,13.27,57.92
14.54,15.76,57.52
12.66,13.62,57.08
12.79,14.32,54.48
5.41,6.22,57.68
4.53,5.07,60.73
4.67,5.24,60.99
4.99,5.7,61.79
5.09,5.89,60.73
5.78,6.66,58.11
5.18,6.14,55.0
5.24,5.93,52.71
6.46,7.65,52.09
7.15,8.2,51.45
6.01,6.66,53.64
3.29,3.54,56.56
3.04,3.23,56.66
2.1,2.28,57.48
2.7,2.7,56.38
3.17,3.44,55.36
3.94,4.25,54.04
3.92,4.26,53.31
4.99,5.53,52.33
9.47,13.98,47.28
4.09,3.9,52.77
4.84,4.92,55.14
4.76,4.92,56.86
3.4,3.23,59.97
1.24,1.15,65.76
1.34,1.45,64.14
1.09,0.82,67.14
1.05,0.82,67.67
2.22,2.05,64.08
2.68,2.52,63.1
2.52,2.52,62.13
2.26,2.22,63.92
2.89,1.99,58.89
6.88,6.94,51.79
11.77,12.63,41.35
13.44,14.16,41.46
15.11,15.7,41.57
22.46,26.04,33.03
25.22,34.32,16.19
32.72,42.67,9.12
39.11,65.07,1.96
37.51,70.32,2.06
32.42,66.71,2.0
27.01,47.6,3.41
18.93,29.94,8.08
16.26,24.86,11.85
16.74,23.07,13.27
16.35,22.94,20.16
15.57,21.98,21.57
14.91,20.59,28.04
15.16,21.16,30.25
15.77,22.01,32.71
15.34,20.64,33.27
17.04,23.08,39.61
17.63,23.43,31.59
18.46,24.04,23.81
18.33,23.28,13.67
18.65,23.03,10.52
16.71,20.78,6.73
16.25,19.7,2.28
16.78,21.19,3.21
15.38,21.84,10.34
20.64,22.46,12.45
19.14,20.62,15.85
18.0,18.52,12.71
18.2,18.89,14.79
20.73,21.49,24.61
25.82,27.12,30.17
11.17,12.32,39.38
11.15,12.2,46.22
8.72,9.41,51.01
7.86,8.76,52.43
5.3,5.51,55.6
5.13,5.51,53.8
4.8,4.86,54.9
4.02,4.32,56.32
2.98,3.23,57.34
2.56,3.04,55.98
2.77,2.89,55.04
3.21,3.31,55.11
3.71,4.23,55.18
4.88,4.9,51.71
6.23,6.41,48.38
7.27,7.61,45.1
8.19,8.74,43.43
9.52,10.8,41.64
10.86,12.87,39.85
15.2,18.61,36.66
19.22,24.65,34.61
16.12,19.68,38.8
14.08,16.81,41.19
11.67,13.96,42.71
12.41,14.88,41.75
13.16,16.24,41.39
13.67,16.24,40.31
12.2,15.3,40.69
11.84,15.64,41.35
12.18,15.63,41.23
11.96,15.97,37.66
12.1,15.53,46.24
12.17,16.58,54.94
17.04,22.24,49.41
17.63,23.43,46.74
18.46,17.05,54.6
18.33,23.28,49.45
18.65,23.03,43.69
16.71,20.78,44.84
16.25,19.7,45.52
16.34,18.46,47.94
15.38,16.69,50.27
14.06,15.78,51.63
13.09,15.68,50.49
10.33,11.21,59.41
8.36,8.84,65.06
7.11,7.65,66.46
7.34,7.54,62.8
6.18,7.11,64.38
4.32,4.65,65.14
5.64,5.97,63.24
5.24,5.45,63.8
2.91,3.25,68.84
4.44,4.61,65.5
2.95,3.06,66.66
2.47,2.58,64.44
3.17,3.4,62.21
2.81,3.0,64.06
2.37,2.62,64.48
2.16,2.08,63.64
2.1,2.33,64.75
2.36,2.44,66.52
2.62,2.54,68.28
3.79,3.92,60.85
3.04,3.04,60.8
2.79,2.83,62.41
4.53,4.67,60.54
3.67,3.77,64.96
4.28,4.21,64.78
6.54,6.41,63.56
5.7,5.81,69.82
4.95,5.11,74.46
3.33,3.48,76.34
4.25,4.02,73.04
6.77,7.36,66.74
8.05,9.37,61.87
9.29,10.67,60.79
11.0,13.2,58.61
10.44,12.03,61.47
7.1,7.88,69.17
6.98,7.42,69.39
12.22,12.99,59.31
8.55,8.91,59.77
10.04,10.56,59.23
14.18,16.66,52.95
18.65,23.03,41.97
16.71,20.78,31.25
16.25,19.7,20.8
16.78,21.19,20.52
15.38,21.84,30.59
20.64,22.46,30.87
17.94,17.58,36.34
12.97,15.49,37.7
12.02,13.66,40.05
11.91,13.12,41.63
9.43,9.96,44.01
9.81,10.08,44.84
9.24,9.47,45.94
9.58,9.75,47.3
8.34,8.41,49.49
6.62,6.48,54.38
5.55,5.3,57.02
5.76,5.36,57.78
7.71,7.77,54.02
7.5,7.79,53.29
7.83,7.76,56.59
5.7,5.39,59.89
5.76,5.34,59.95
6.16,5.62,64.75
5.36,4.99,70.05
5.55,5.2,59.11
5.34,5.12,59.08
5.14,5.05,59.05
4.76,5.09,60.95
5.16,5.14,60.54
14.86,14.82,48.1
13.41,13.58,49.39
8.95,8.91,54.28
7.31,7.78,55.78
13.27,13.81,49.45
13.88,14.1,48.0
7.27,7.4,51.99
8.78,9.22,49.63
9.37,9.91,49.99
7.65,8.4,52.57
7.5,8.47,52.41
7.76,8.99,51.81
7.88,8.91,51.67
8.7,9.77,50.59
10.08,10.82,49.83
9.43,10.12,50.21
11.91,12.72,47.1
18.33,16.97,38.92
18.65,23.03,35.08
15.05,16.22,42.47
12.05,12.85,46.24
9.98,10.44,48.97
11.07,11.9,45.96
9.7,10.48,47.66
7.96,8.87,50.61
8.45,9.03,51.77
7.61,8.15,52.07
11.3,11.86,46.26
9.85,10.16,46.38
8.47,8.84,48.24
5.7,5.78,50.91
6.06,5.68,50.55
6.08,5.87,52.01
5.43,5.28,52.61
4.36,4.26,53.27
4.19,4.36,53.68
3.46,3.37,54.56
3.46,3.4,53.76
3.82,3.96,53.56
3.81,4.0,53.62
3.44,3.16,54.37
3.79,3.61,55.12
4.05,4.26,54.38
5.51,6.1,52.73
6.08,6.25,51.07
8.13,8.47,48.12
9.7,10.58,46.4
11.28,12.68,44.68
14.73,17.16,42.01
15.97,18.67,41.51
12.74,15.03,43.97
14.5,16.43,41.09
15.28,21.99,39.38
12.78,14.4,42.55
16.26,21.42,36.64
13.71,18.28,39.44
11.09,13.6,42.51
15.57,21.98,41.27
11.99,15.24,41.89
11.96,15.4,41.39
15.77,15.53,37.7
12.17,15.32,40.89
13.38,16.29,39.87
