Real_NO2,Real_NOx,Real_O3
9.18,9.77,32.83
9.56,10.58,32.45
10.67,11.46,31.81
9.81,10.52,32.23
9.66,10.19,32.11
9.49,10.08,31.03
8.3,8.85,31.17
6.67,6.85,32.01
6.41,6.98,31.43
6.43,6.73,31.53
6.02,6.39,30.33
6.04,6.48,29.9
6.01,6.5,29.24
6.08,6.41,28.76
6.41,6.75,28.06
7.0,7.54,27.08
6.98,7.29,26.1
6.87,7.04,25.66
8.87,9.49,23.81
13.66,15.52,19.24
18.54,22.21,16.66
21.88,28.26,12.58
25.22,34.32,8.5
32.72,42.67,6.53
20.22,33.53,12.15
19.73,27.96,16.58
18.0,23.43,17.98
15.26,19.51,19.52
15.2,18.97,20.1
14.52,20.25,20.52
12.37,19.7,21.65
12.62,19.39,21.31
12.68,17.98,21.17
13.09,20.15,20.42
14.73,15.97,20.8
15.41,15.53,21.55
12.17,20.64,22.49
13.38,17.73,21.15
17.63,22.57,19.32
18.46,23.17,19.0
14.18,16.97,19.84
18.65,22.44,19.44
16.71,20.57,19.2
14.52,17.55,19.32
13.37,15.11,21.49
12.11,13.39,22.11
11.11,12.49,21.79
12.53,13.64,20.68
10.52,11.72,21.35
11.95,13.0,20.34
11.17,11.97,20.28
11.38,12.35,21.21
8.7,9.37,23.33
7.46,7.96,25.43
5.37,5.43,31.21
3.92,4.25,32.73
3.63,3.75,32.87
3.46,3.56,32.93
3.84,4.0,29.84
4.28,4.7,31.8
2.93,3.31,33.75
3.02,3.21,32.47
2.01,2.14,36.36
4.07,4.04,32.51
3.61,3.48,34.33
4.1,4.07,33.82
4.59,4.65,33.31
7.71,8.34,30.87
9.89,10.67,30.65
17.11,21.09,23.99
25.22,30.8,18.68
19.12,21.19,27.48
19.99,24.04,23.61
17.54,20.87,23.61
16.16,20.85,25.82
16.21,21.34,26.04
15.5,22.64,23.99
14.19,19.74,26.78
9.93,13.75,31.79
7.4,10.63,33.99
8.17,11.49,35.58
4.97,6.66,39.71
4.63,5.97,42.11
5.57,7.4,42.69
4.21,5.49,43.65
5.81,6.52,42.71
5.78,6.23,42.41
9.68,11.7,38.66
10.48,12.51,37.26
12.64,14.65,34.59
15.05,16.47,31.29
16.25,19.7,26.14
14.5,15.45,28.26
15.38,21.84,22.43
14.17,15.97,25.74
12.76,13.48,26.72
9.26,10.19,29.52
7.57,8.28,32.33
7.02,7.48,31.59
7.84,8.36,30.83
5.45,5.64,32.89
4.67,4.82,33.73
3.19,3.19,35.54
2.49,2.3,38.1
2.75,2.31,38.5
2.03,2.03,40.25
1.82,1.63,39.71
1.86,1.66,38.26
1.84,1.89,37.74
1.86,1.78,37.3
2.08,1.84,36.86
2.59,2.5,35.54
3.1,3.16,35.68
3.84,4.44,35.96
3.5,3.58,37.4
4.31,4.87,37.21
5.13,6.16,37.02
6.43,7.63,36.46
7.1,8.74,36.16
7.44,9.03,36.86
6.45,7.71,37.74
6.75,8.01,37.76
6.92,9.79,37.86
5.7,7.25,38.18
6.23,7.4,37.58
5.78,7.5,37.96
5.93,7.32,37.78
6.56,8.05,35.44
6.79,8.32,35.72
5.7,7.04,37.1
5.6,6.75,37.64
7.55,9.49,36.08
6.31,8.3,37.22
7.02,8.51,37.66
7.4,8.74,37.56
6.75,7.78,38.18
7.52,8.82,37.92
7.31,8.72,37.98
5.95,6.98,39.22
5.53,6.5,39.14
4.86,5.66,39.06
4.82,5.51,38.96
4.61,4.95,39.79
3.94,4.46,39.71
4.17,4.84,40.71
4.8,5.2,40.81
4.02,4.48,40.45
4.19,4.57,40.77
3.06,3.58,42.47
2.93,3.23,42.07
1.97,2.31,43.07
2.16,2.35,43.03
2.08,2.07,42.07
1.78,1.89,41.65
1.82,1.84,42.69
1.8,1.68,42.57
2.05,2.01,42.55
2.08,2.18,42.13
2.08,2.45,41.49
2.12,2.1,41.87
2.18,2.2,42.25
2.93,3.12,41.85
3.39,3.73,41.87
4.61,5.14,40.45
6.94,7.92,37.86
12.32,15.66,35.08
17.69,23.39,32.31
14.9,17.94,32.81
10.6,12.58,35.66
8.59,10.02,37.6
6.85,8.49,40.93
6.54,8.17,42.41
8.32,10.71,41.83
9.58,12.74,40.45
9.91,12.83,36.66
8.76,11.05,33.99
7.63,9.64,34.55
9.24,11.7,35.32
8.61,11.07,34.88
9.98,13.0,34.35
10.79,13.69,31.83
10.94,13.9,31.49
13.68,18.23,27.62
14.38,17.05,27.86
14.18,16.97,28.38
14.25,16.46,28.2
16.71,16.47,25.17
16.25,17.55,25.66
13.39,14.8,28.22
10.73,11.84,27.84
10.9,12.05,26.64
12.39,13.58,25.74
10.44,11.3,28.14
11.86,12.93,25.72
11.91,14.02,24.59
11.88,14.09,23.47
11.17,12.32,23.81
9.6,10.31,24.59
9.03,9.94,24.45
8.47,9.26,24.65
8.57,9.28,24.69
8.11,8.57,23.89
8.37,9.12,22.89
7.71,7.77,23.43
7.5,7.79,23.97
7.83,8.16,23.61
7.13,7.54,23.55
7.16,7.54,22.65
8.13,8.53,22.33
9.12,9.61,20.62
10.11,10.69,18.92
13.66,15.52,13.03
18.54,22.32,11.26
22.46,26.04,12.23
25.22,34.32,9.38
32.72,42.67,4.31
20.22,33.53,3.87
19.73,30.73,4.09
18.0,31.66,7.38
16.21,23.41,11.79
15.5,22.64,14.81
13.66,22.14,17.44
13.71,23.07,17.6
12.57,19.54,21.09
13.2,20.3,22.01
13.09,18.17,23.55
11.96,15.97,24.99
12.1,15.53,28.3
12.17,16.58,30.04
12.91,16.77,31.65
13.68,18.23,30.23
14.38,17.05,26.46
14.18,16.97,22.87
14.25,16.46,21.49
16.6,16.47,22.05
16.25,17.55,22.29
16.34,17.65,21.35
15.38,16.69,20.56
14.17,15.19,20.93
13.09,14.13,21.39
12.89,13.6,21.27
12.02,13.56,21.75
11.84,12.64,22.13
11.88,12.89,22.97
11.17,12.32,22.95
11.15,11.69,24.23
10.45,11.83,24.13
8.84,8.91,26.76
8.74,9.18,27.12
8.4,8.63,27.3
8.32,8.45,26.74
7.71,7.77,26.22
7.5,7.79,25.86
7.83,8.16,25.66
7.13,7.54,25.45
7.16,7.54,24.95
8.34,8.54,24.83
8.07,7.94,24.17
8.17,8.47,23.29
8.16,8.66,22.48
8.15,8.84,21.67
8.45,9.05,22.37
10.23,10.69,20.62
8.59,8.8,21.35
10.73,12.7,19.34
11.44,13.67,18.18
10.16,13.02,18.2
11.65,15.32,18.02
11.48,15.51,18.12
9.79,13.35,21.05
8.43,11.34,22.05
9.72,14.04,20.46
11.02,14.92,21.75
11.11,14.69,22.87
9.96,12.39,23.47
12.1,14.99,23.31
10.19,11.76,24.39
10.98,12.64,24.23
12.24,13.39,23.67
13.27,14.29,21.69
13.96,15.01,20.34
14.25,16.46,17.92
14.94,16.08,19.06
13.1,13.67,20.72
13.16,13.77,20.22
14.61,15.45,19.56
13.22,14.29,22.83
11.46,11.9,25.78
10.98,11.48,26.6
11.38,11.69,26.64
10.69,11.3,26.34
10.77,11.4,26.0
10.69,11.09,25.66
10.56,11.0,24.75
9.96,10.37,25.01
9.83,9.64,25.21
9.94,10.23,24.03
9.34,9.84,23.21
8.37,9.35,21.59
7.71,7.77,21.91
7.5,7.79,23.19
6.35,6.69,26.12
5.99,5.89,29.4
5.6,5.6,30.24
5.14,5.05,31.07
4.82,4.57,30.93
4.57,4.11,29.0
4.7,4.36,28.3
4.42,4.36,29.04
4.3,4.51,28.72
4.19,4.65,28.4
5.41,5.91,27.82
5.72,6.54,27.3
11.63,13.79,23.25
9.22,10.61,25.66
7.86,10.04,26.76
8.49,12.01,26.68
9.16,12.95,28.38
5.55,7.86,31.27
6.1,8.91,31.01
5.99,8.84,33.35
4.63,6.6,35.32
4.05,5.43,37.74
4.97,6.41,37.92
4.26,6.06,38.88
3.67,4.67,39.75
5.53,6.98,37.8
7.67,9.31,34.53
6.16,7.25,37.28
6.22,7.32,37.98
7.4,8.64,36.86
8.15,9.08,34.67
7.75,8.61,33.91
7.78,8.8,33.45
7.02,7.98,36.32
6.94,7.27,34.86
5.62,5.91,35.42
4.74,5.3,36.74
5.28,6.02,34.82
5.14,5.47,33.71
6.25,6.64,29.54
6.66,7.34,26.6
5.89,6.2,25.33
6.39,6.48,25.07
7.36,7.65,25.53
7.13,7.44,27.06
7.65,7.96,27.18
6.45,6.62,29.64
4.23,4.55,32.11
4.17,4.34,33.65
4.09,4.55,33.55
3.96,4.51,32.35
3.5,3.9,32.27
3.3,3.58,33.67
3.1,3.25,35.08
3.6,3.79,35.6
6.12,6.81,34.57
11.42,13.1,29.96
10.46,12.09,31.29
19.2,21.78,25.37
20.22,26.7,24.71
19.73,24.44,27.5
14.94,17.84,31.01
11.26,14.06,31.53
14.11,17.81,29.66
9.96,12.74,32.17
9.54,13.08,32.65
9.58,12.97,31.85
9.58,13.25,32.45
7.92,11.67,34.47
5.47,7.86,37.22
5.68,7.67,37.18
7.96,9.98,35.36
8.01,11.0,36.02
9.64,13.06,35.58
10.71,13.33,34.39
9.81,11.88,36.06
11.91,14.04,33.07
9.72,11.48,34.59
8.01,9.51,35.42
8.32,9.83,34.25
8.24,9.47,34.15
7.75,8.95,34.35
6.85,7.75,34.9
6.33,7.06,34.9
5.93,6.79,36.28
5.53,6.31,36.7
5.85,6.27,36.66
6.48,7.38,35.8
5.97,6.73,35.52
5.85,6.58,34.82
4.53,5.14,35.24
3.81,3.67,35.28
3.37,3.81,34.59
3.6,3.92,33.07
3.61,4.05,33.25
3.71,3.9,33.11
3.82,4.34,33.21
3.84,4.15,33.31
4.04,4.42,33.47
4.67,5.13,31.93
5.07,5.2,30.17
5.3,5.83,29.5
5.82,6.24,29.4
6.33,6.66,29.3
