Recorded,NO2,NOx,heat_index,rh,pressure,wdir,wdir_cardinal,wspd,station_id
2019-12-08 07:30:00,8.22,8.55,8.0,100.0,985.65,210.0,SSW,35.0,Gade
2019-12-08 08:00:00,8.4,10.33,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 08:30:00,7.34,8.34,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 09:00:00,8.03,9.85,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 09:30:00,8.8,11.84,9.0,93.0,984.65,210.0,SSW,41.0,Gade
2019-12-08 10:00:00,10.52,13.66,9.0,100.0,980.65,220.0,SW,43.0,Gade
2019-12-08 10:30:00,9.41,11.21,9.0,100.0,980.65,220.0,SW,41.0,Gade
2019-12-08 11:00:00,8.09,10.02,9.0,100.0,979.65,220.0,SW,41.0,Gade
2019-12-08 11:30:00,5.57,6.73,9.0,100.0,979.65,220.0,SW,37.0,Gade
2019-12-08 12:00:00,6.1,7.36,9.0,100.0,978.65,230.0,SW,41.0,Gade
2019-12-08 12:30:00,6.58,8.63,9.0,100.0,978.65,230.0,SW,41.0,Gade
2019-12-08 13:00:00,5.95,7.84,9.0,93.0,978.65,250.0,WSW,41.0,Gade
2019-12-08 13:30:00,6.69,8.85,9.0,93.0,978.65,250.0,WSW,44.0,Gade
2019-12-08 14:00:00,6.67,8.87,9.0,87.0,978.65,250.0,WSW,41.0,Gade
2019-12-08 14:30:00,6.75,9.58,9.0,87.0,979.65,250.0,WSW,35.0,Gade
2019-12-08 15:00:00,6.06,7.98,8.0,93.0,979.65,250.0,WSW,35.0,Gade
2019-12-08 15:30:00,8.07,11.13,8.0,93.0,979.65,250.0,WSW,39.0,Gade
2019-12-08 16:00:00,8.47,12.57,8.0,87.0,979.65,250.0,WSW,37.0,Gade
2019-12-08 16:30:00,10.42,13.66,7.0,93.0,979.65,250.0,WSW,37.0,Gade
2019-12-08 17:00:00,12.11,17.54,7.0,93.0,980.65,240.0,WSW,31.0,Gade
2019-12-08 17:30:00,10.37,14.36,7.0,87.0,980.65,250.0,WSW,35.0,Gade
2019-12-08 18:00:00,11.4,16.26,7.0,87.0,980.65,240.0,WSW,30.0,Gade
2019-12-08 18:30:00,13.81,19.28,7.0,87.0,980.65,240.0,WSW,28.0,Gade
2019-12-08 19:00:00,11.59,15.95,7.0,87.0,980.65,250.0,WSW,35.0,Gade
2019-12-08 19:30:00,9.89,13.69,6.0,87.0,980.65,240.0,WSW,33.0,Gade
2019-12-08 20:00:00,15.05,20.04,6.0,87.0,980.65,220.0,SW,24.0,Gade
2019-12-08 20:30:00,10.27,13.25,6.0,87.0,980.65,220.0,SW,30.0,Gade
2019-12-08 21:00:00,17.38,23.29,6.0,87.0,980.65,240.0,WSW,39.0,Gade
