,NO2,NOX
347,10.735755,18.721027
348,10.836613,18.339386
349,10.57082,18.269056
350,10.544445,17.811687
351,10.437149,17.595491
352,10.468861,17.681389
353,10.187487,16.924072
354,10.034645,16.496264
355,9.753487,15.925522
356,9.473513,15.074278
357,9.257736,14.327467
358,8.76115,13.366272
359,8.286972,12.420191
360,7.728696,11.505905
361,7.0693483,10.362726
362,6.51029,9.527525
363,6.13505,8.554447
364,5.674426,7.6398773
365,5.2445965,6.7728558
366,5.0085106,6.290571
367,4.7323284,5.679661
368,4.631423,5.58037
369,4.483615,5.2493706
370,4.529564,5.523754
371,4.494751,5.5668945
372,4.8951483,6.205473
373,5.2885256,6.7356434
374,5.6428795,7.3983803
375,6.2101803,8.295145
376,6.7359715,10.061924
377,7.5240154,10.956444
378,8.154597,12.548925
379,8.874897,13.61022
380,9.617543,15.946417
381,10.608498,17.480492
382,11.292946,19.385624
383,12.37005,20.74078
384,26.411491,60.309414
385,26.552488,61.56346
386,26.637672,61.54488
387,26.462841,62.06716
388,26.1183,61.580696
389,25.885187,60.8395
390,25.498798,59.986633
391,25.1926,59.352108
392,25.30476,58.270763
393,24.78951,57.46761
394,24.613739,56.678696
395,24.59421,56.266068
396,24.652462,55.780815
397,24.454372,54.546955
398,24.50695,53.15635
399,24.20895,52.260727
400,23.941334,50.855473
401,23.3819,48.34552
402,22.79432,46.144424
403,22.052864,43.94183
404,21.298885,41.632153
405,20.29356,38.621696
406,19.349518,35.922688
407,18.212053,33.467728
408,17.32917,30.701517
409,16.497793,28.915749
410,15.657018,26.592937
411,14.5222435,24.66252
412,13.795813,23.154263
413,12.897225,20.74679
414,12.1897135,19.580603
415,11.620628,18.098621
416,11.130604,17.205502
417,10.846081,16.547462
418,10.831406,16.331318
419,10.873116,16.41985
420,11.181682,17.380497
421,11.66103,18.260399
422,12.321584,19.959627
423,13.156837,22.091633
424,14.085522,24.822466
425,15.233976,26.68494
426,16.583158,30.369417
427,17.903782,33.61081
428,19.039732,37.256184
429,20.420872,40.34814
430,21.099922,43.38665
431,22.033892,44.716583
432,28.756556,69.81846
433,28.759798,70.95098
434,28.751413,70.64089
435,28.554123,70.84749
