,NO2,NOX
705,3.23,3.46
706,2.85,1.53
707,2.91,1.89
708,1.53,0.94
709,3.84,3.04
710,6.35,8.34
711,10.73,17.23
712,11.34,16.89
713,13.75,22.45
714,11.7,16.79
715,11.42,16.83
716,11.93,16.72
717,11.95,22.24
718,17.65,25.59
719,24.12,38.25
720,22.26,38.67
721,23.37,37.92
722,21.44,35.71
723,15.45,24.9
724,12.18,21.31
725,9.91,17.14
726,7.78,14.94
727,7.82,12.39
728,8.85,14.69
729,7.17,11.02
730,7.46,10.37
731,6.75,8.99
732,7.8,11.53
733,6.92,10.19
734,8.13,11.93
735,6.33,8.72
736,4.76,5.79
737,4.8,5.93
738,4.8,7.52
739,5.22,8.17
740,5.43,6.66
741,3.54,4.65
742,5.09,6.77
743,4.26,5.89
744,3.25,3.73
745,2.87,2.85
746,1.8,1.74
747,3.52,3.31
748,2.12,1.15
749,2.73,2.1
750,2.01,1.13
751,2.31,1.74
752,2.51,1.57
753,2.35,2.52
754,1.78,2.28
755,2.6,3.54
756,3.52,6.67
757,5.18,9.51
758,4.32,7.13
759,6.75,10.88
760,5.41,9.66
761,5.68,8.45
762,4.7,7.76
763,5.37,8.78
764,6.98,10.88
765,6.85,11.21
766,6.31,10.96
767,5.66,10.67
768,5.47,10.33
769,5.39,9.28
770,5.28,10.02
771,4.9,9.68
772,4.48,8.45
773,4.97,9.6
774,7.13,12.58
775,6.01,10.81
776,4.9,8.3
777,5.6,11.53
778,6.04,10.86
779,7.08,13.0
780,6.41,12.35
781,5.87,10.81
782,5.13,8.64
783,4.34,8.11
784,4.44,8.49
785,4.26,7.54
786,4.9,10.35
787,4.32,7.82
788,5.11,9.39
789,3.71,7.4
790,4.17,7.19
791,4.97,8.03
792,4.25,5.78
793,3.48,5.09
794,7.11,8.84
795,4.05,5.18
796,2.79,4.0
797,2.01,2.56
798,2.83,3.92
799,3.14,3.65
800,3.02,4.0
801,1.82,2.7
802,2.28,3.48
803,3.82,7.15
804,13.79,21.34
805,4.74,7.29
806,2.08,4.07
807,2.96,4.4
808,3.52,6.06
809,3.9,6.1
810,4.51,6.16
811,4.23,6.45
812,3.86,6.04
813,5.09,8.7
814,4.46,8.01
815,5.36,9.03
816,4.26,8.34
817,4.0,7.1
818,3.4,6.75
819,4.46,7.92
820,4.44,8.15
821,5.18,8.53
822,4.78,8.34
823,5.72,9.49
824,5.39,9.68
825,5.6,9.52
826,6.27,9.94
827,5.3,9.14
828,6.46,10.23
829,4.93,7.98
830,4.49,7.19
831,5.03,7.99
832,3.9,6.1
833,4.19,6.83
834,3.42,5.41
835,4.25,7.1
836,7.36,13.79
837,4.95,8.74
838,4.86,7.25
839,5.26,8.17
840,4.26,6.69
841,3.86,6.22
842,4.19,7.19
843,3.37,5.78
844,3.69,6.23
845,3.4,5.26
846,3.31,4.9
847,3.9,6.08
848,3.35,4.9
849,4.11,5.3
850,4.97,7.48
851,12.78,24.77
