,NO2,NOX,O3
794,4.78,5.57,60.55
795,3.86,4.11,61.55
796,16.12,16.53,46.02
797,6.96,7.36,56.86
798,2.73,2.83,62.45
799,2.75,3.0,63.52
800,2.39,2.31,65.56
801,3.04,3.17,64.22
802,2.81,3.14,64.22
803,2.26,2.28,64.22
804,2.62,2.22,64.27
805,2.66,2.56,62.78
806,1.47,1.64,60.85
807,1.84,2.01,60.8
808,2.03,2.04,63.48
809,2.22,2.08,66.15
810,2.31,2.1,64.96
811,2.62,2.49,66.31
812,6.31,6.16,62.09
813,4.07,4.04,62.47
814,4.21,4.34,62.51
815,4.44,4.86,61.45
816,3.77,3.6,60.87
817,4.34,4.3,60.35
818,5.81,6.18,58.25
819,6.81,7.46,55.54
820,5.74,6.14,54.38
821,5.41,5.85,53.35
822,5.57,6.12,51.31
823,5.28,6.04,50.81
824,5.62,6.52,49.37
825,6.83,7.52,48.22
826,5.39,5.83,53.05
827,5.45,5.7,53.05
828,5.43,6.18,52.45
829,5.11,5.45,49.39
830,5.76,6.23,43.65
831,7.0,7.52,37.5
832,6.73,7.73,36.08
833,7.02,8.13,38.64
834,7.4,7.78,40.23
835,7.61,8.19,37.48
836,8.2,8.72,35.52
837,6.94,7.15,36.24
838,6.66,6.94,36.92
839,5.76,5.97,37.58
840,6.48,7.13,36.98
841,6.56,7.08,37.06
842,6.18,5.91,37.46
843,5.43,5.47,39.14
844,5.7,5.3,40.03
845,5.34,5.58,40.59
846,4.99,5.07,41.26
847,4.67,4.3,41.93
848,4.61,4.49,42.39
849,4.7,4.69,41.95
850,4.4,4.46,41.81
851,4.55,4.42,41.43
852,4.4,4.34,41.16
853,4.25,4.26,40.89
854,4.38,4.3,40.55
855,4.32,4.09,41.71
856,4.23,4.3,45.42
857,4.25,4.53,46.04
858,3.71,3.88,53.21
859,3.79,4.05,56.12
860,4.13,4.3,56.42
861,4.28,4.49,57.18
862,4.57,4.7,56.56
863,4.76,5.13,55.48
864,5.83,5.97,54.04
865,6.98,7.57,53.48
866,8.61,9.2,53.84
867,6.98,7.67,55.46
868,8.38,9.7,53.96
869,8.26,9.29,55.7
870,6.5,7.23,57.24
871,7.44,8.32,56.28
872,8.13,8.89,53.62
873,7.13,7.78,52.17
874,8.34,9.24,49.79
875,8.09,8.93,48.44
876,9.37,10.81,48.12
877,8.05,8.63,50.77
878,7.86,8.8,48.02
879,6.35,7.02,49.05
880,7.04,7.15,50.87
881,5.03,5.28,52.51
882,6.39,7.06,50.17
883,5.74,6.14,50.67
884,6.5,7.36,51.55
885,4.7,5.53,55.2
886,5.13,5.66,61.41
887,3.86,4.25,65.2
888,3.61,3.61,66.06
889,3.61,3.69,65.84
890,3.23,3.0,66.9
891,2.08,1.78,68.84
892,2.24,1.99,68.11
893,1.82,1.55,68.43
894,1.49,1.45,68.3
895,1.4,1.43,66.89
896,1.8,1.57,66.66
897,2.47,2.39,66.43
898,2.43,2.39,67.16
899,2.79,2.75,64.75
900,4.19,3.94,64.27
901,6.29,6.45,62.78
902,5.1,5.22,65.72
903,3.9,3.98,68.65
904,5.55,5.72,66.17
905,6.83,7.69,60.54
906,9.47,11.02,61.23
907,11.02,12.85,58.77
908,11.46,13.6,58.97
909,9.26,10.73,61.65
910,6.87,8.28,63.68
911,6.69,7.63,63.94
912,7.4,9.22,62.98
913,6.08,6.9,64.32
914,5.66,7.06,65.18
915,5.47,6.69,65.38
916,6.18,8.09,65.1
917,5.89,7.0,66.04
918,6.23,7.57,66.58
919,5.57,6.56,67.87
920,6.56,7.73,66.58
921,5.78,6.71,67.67
922,6.04,7.19,68.57
923,5.64,6.92,69.21
924,4.88,6.12,69.49
925,4.76,5.91,69.77
926,5.22,6.29,69.21
927,4.17,4.95,70.39
928,3.61,4.51,71.13
929,3.02,3.61,70.87
930,2.91,3.21,71.47
931,2.07,2.52,73.04
932,2.37,2.6,74.0
933,4.09,4.05,72.92
934,3.12,2.83,71.45
935,3.23,2.93,70.74
936,2.85,2.93,71.55
937,2.89,2.64,71.68
938,1.38,1.47,71.5
939,1.4,1.26,72.08
940,1.11,1.01,72.83
941,2.12,2.2,68.43
942,2.52,2.47,64.0
943,1.64,1.55,66.89
944,2.01,1.74,66.7
945,2.49,2.2,64.76
946,2.37,2.37,64.76
947,1.57,1.57,64.75
948,2.89,3.23,70.05
949,3.9,3.9,68.28
950,4.65,4.63,60.85
951,4.76,5.07,60.8
952,8.18,8.88,59.84
953,11.59,12.7,58.89
954,14.04,16.14,57.3
955,15.74,18.99,55.26
956,13.5,15.03,60.41
957,14.08,15.24,57.76
958,15.17,17.35,50.45
959,15.5,20.56,47.98
960,16.26,20.48,49.21
961,12.91,15.8,53.74
962,12.18,15.72,53.5
963,10.58,14.27,54.68
964,10.08,13.08,55.32
965,8.95,11.59,56.28
966,10.04,13.22,54.74
967,9.47,11.74,54.12
968,10.75,13.98,53.46
969,10.52,13.6,54.84
970,12.78,15.61,53.33
971,13.14,15.76,52.67
972,14.25,16.46,48.93
973,11.05,13.0,55.28
974,6.16,7.54,69.87
975,7.46,8.68,68.99
976,7.99,9.08,66.42
977,5.16,5.87,67.1
978,6.43,7.13,68.47
979,7.06,7.34,62.61
980,7.25,8.15,61.67
981,2.95,3.54,68.81
982,3.0,3.42,69.83
983,2.41,3.02,68.49
984,3.23,3.4,66.44
985,2.7,2.96,65.0
986,2.39,2.45,62.88
987,2.14,2.41,62.59
988,1.34,1.32,64.56
989,1.28,1.55,65.96
990,1.17,1.36,66.42
991,1.07,0.86,66.89
992,1.38,1.34,65.06
993,1.68,1.82,62.45
994,1.28,1.59,61.61
995,1.36,1.59,62.86
996,1.95,2.1,62.04
