,NO2,NOX,O3
415,8.903098,9.805224,37.940395
416,8.9395485,9.884459,37.445004
417,8.9092,9.969762,37.398582
418,8.929982,10.031783,37.26084
419,9.061839,10.1381235,37.964664
420,9.393142,10.613441,37.570065
421,9.78001,10.986168,36.937065
422,10.055209,11.532263,36.84572
423,10.460242,11.920229,36.119804
424,10.836453,12.314503,36.151352
425,11.299547,12.991239,35.84928
426,11.551283,13.260857,35.51052
427,11.874184,13.805663,35.523033
428,12.059943,14.241623,35.600636
429,12.164551,14.3349285,35.632957
430,12.166513,14.700422,35.98587
431,12.279353,14.80072,36.22826
432,3.8936992,4.6588635,72.43442
433,4.068056,4.8387985,71.98576
434,4.264349,4.9514666,71.43526
435,4.336296,5.0898705,71.12365
436,4.556346,5.2265587,70.35711
437,4.672778,5.3918047,69.64691
438,4.8590508,5.4708242,68.98935
439,4.969821,5.599132,68.247154
440,5.1953626,5.6728606,67.37896
441,5.2977085,5.8525734,66.80132
442,5.4604244,5.974243,66.0349
443,5.5929794,6.079878,65.18438
444,5.65315,6.169798,64.49709
445,5.782846,6.3406086,63.846924
446,5.8260527,6.417486,63.245094
447,5.8251038,6.476542,62.610004
448,5.8934174,6.419614,62.430206
449,5.89413,6.5214353,61.730114
450,5.9524508,6.531504,61.439346
451,5.934739,6.600244,61.31186
452,5.9482183,6.632537,60.907158
453,5.8780518,6.63842,60.6614
454,5.7878556,6.5723267,60.487267
455,5.7735567,6.57516,60.529
456,5.7192583,6.4763293,60.56937
457,5.622982,6.4164305,60.671608
458,5.5962057,6.435597,60.59781
459,5.5464983,6.3154197,60.89829
460,5.4842114,6.346613,61.234573
461,5.494061,6.2722673,61.523266
462,5.4663095,6.332355,61.744
463,5.562769,6.373431,61.823616
464,5.5625043,6.552017,62.122734
465,5.664666,6.630395,62.46537
466,5.8410807,6.877536,62.699173
467,5.9970036,7.0556192,62.610718
468,6.0462255,7.0602136,62.90285
469,6.0949273,7.220147,63.19842
470,6.178988,7.3724504,63.346848
471,6.2224646,7.4123955,63.73449
472,6.28808,7.5709853,64.19438
473,6.3118653,7.5624914,64.402664
474,6.2780457,7.642099,64.73875
475,6.2177362,7.480545,65.44365
