Recorded,NO2,NOx
10-02-2022 14:30:00,10.94,17.31
10-02-2022 14:00:00,11.05,16.79
10-02-2022 13:30:00,7.1,11.44
10-02-2022 13:00:00,8.2,13.92
10-02-2022 12:30:00,7.48,11.48
10-02-2022 12:00:00,7.19,12.58
10-02-2022 11:30:00,11.76,20.67
10-02-2022 11:00:00,10.9,17.73
10-02-2022 10:30:00,9.45,14.86
10-02-2022 10:00:00,10.81,17.9
10-02-2022 09:30:00,14.29,23.66
10-02-2022 09:00:00,14.31,21.13
10-02-2022 08:30:00,13.48,20.79
10-02-2022 08:00:00,18.7,29.76
10-02-2022 07:30:00,26.05,40.39
10-02-2022 07:00:00,20.22,32.46
10-02-2022 06:30:00,14.8,22.78
10-02-2022 06:00:00,9.56,15.32
10-02-2022 05:30:00,7.04,9.12
10-02-2022 04:30:00,3.63,3.96
10-02-2022 04:00:00,1.8,1.49
10-02-2022 03:30:00,1.78,1.64
10-02-2022 03:00:00,1.63,1.61
10-02-2022 02:30:00,2.41,2.85
10-02-2022 02:00:00,2.31,2.37
10-02-2022 01:30:00,2.28,2.49
10-02-2022 01:00:00,1.74,1.43
10-02-2022 00:30:00,2.12,3.48
10-02-2022 00:00:00,2.24,2.85
09-02-2022 23:30:00,2.39,3.6
09-02-2022 23:00:00,3.27,4.21
09-02-2022 22:30:00,3.25,4.32
09-02-2022 22:00:00,3.44,4.15
09-02-2022 21:30:00,4.55,6.33
09-02-2022 21:00:00,3.71,5.83
09-02-2022 20:30:00,4.95,7.06
09-02-2022 20:00:00,4.82,6.62
09-02-2022 19:30:00,5.24,7.36
09-02-2022 19:00:00,7.76,11.07
09-02-2022 18:30:00,8.66,11.88
09-02-2022 18:00:00,7.54,11.8
09-02-2022 17:30:00,8.76,12.03
09-02-2022 17:00:00,7.78,11.53
09-02-2022 16:30:00,7.71,12.7
09-02-2022 16:00:00,6.81,11.59
09-02-2022 15:30:00,6.79,11.65
09-02-2022 15:00:00,7.84,13.69
09-02-2022 14:30:00,7.78,13.25
09-02-2022 14:00:00,13.62,22.51
09-02-2022 13:30:00,5.93,10.69
09-02-2022 13:00:00,5.13,7.92
09-02-2022 12:30:00,4.86,8.59
09-02-2022 12:00:00,6.18,10.56
09-02-2022 11:30:00,6.04,9.43
09-02-2022 11:00:00,6.02,9.31
09-02-2022 10:30:00,6.83,10.75
09-02-2022 10:00:00,6.23,11.21
09-02-2022 09:30:00,7.02,10.65
09-02-2022 09:00:00,7.63,12.05
09-02-2022 08:30:00,8.99,13.88
09-02-2022 08:00:00,12.78,20.35
09-02-2022 07:30:00,11.72,18.47
09-02-2022 07:00:00,9.75,15.43
09-02-2022 06:30:00,8.24,13.77
09-02-2022 06:00:00,7.25,11.3
09-02-2022 05:30:00,5.41,8.3
09-02-2022 05:00:00,4.49,4.93
09-02-2022 04:30:00,8.03,9.91
09-02-2022 03:30:00,2.95,3.75
09-02-2022 03:00:00,2.28,2.66
09-02-2022 02:30:00,2.26,2.85
09-02-2022 02:00:00,2.93,3.25
09-02-2022 01:30:00,3.27,4.0
09-02-2022 01:00:00,2.98,3.52
09-02-2022 00:30:00,3.33,4.32
09-02-2022 00:00:00,3.61,4.55
08-02-2022 23:30:00,3.27,4.13
08-02-2022 23:00:00,5.7,8.72
08-02-2022 22:30:00,8.26,12.03
08-02-2022 22:00:00,8.2,13.2
08-02-2022 21:30:00,7.27,9.96
08-02-2022 21:00:00,6.67,9.68
08-02-2022 20:30:00,5.81,8.64
08-02-2022 20:00:00,6.27,9.31
08-02-2022 19:30:00,5.97,9.24
08-02-2022 19:00:00,8.91,12.41
08-02-2022 18:30:00,11.63,16.7
08-02-2022 18:00:00,9.41,12.91
08-02-2022 17:30:00,7.52,11.36
08-02-2022 17:00:00,6.33,9.77
08-02-2022 16:30:00,7.5,11.76
08-02-2022 16:00:00,8.01,13.39
08-02-2022 15:30:00,10.54,18.49
08-02-2022 15:00:00,9.93,18.0
08-02-2022 14:30:00,7.27,15.55
08-02-2022 14:00:00,9.08,16.43
08-02-2022 13:30:00,7.23,12.68
08-02-2022 13:00:00,8.72,15.97
08-02-2022 12:30:00,7.9,14.52
08-02-2022 12:00:00,6.75,12.14
08-02-2022 11:30:00,9.08,16.79
08-02-2022 11:00:00,8.59,14.44
08-02-2022 10:30:00,9.54,17.02
08-02-2022 10:00:00,7.52,13.39
08-02-2022 09:30:00,10.04,15.51
08-02-2022 09:00:00,10.19,14.17
08-02-2022 08:30:00,5.74,8.63
08-02-2022 08:00:00,6.18,10.33
08-02-2022 07:30:00,7.15,11.46
08-02-2022 07:00:00,7.25,11.42
08-02-2022 06:30:00,6.52,8.22
08-02-2022 05:30:00,3.21,4.3
08-02-2022 05:00:00,3.37,4.63
08-02-2022 04:30:00,5.6,6.92
08-02-2022 04:00:00,3.86,4.53
08-02-2022 03:30:00,3.29,3.37
08-02-2022 03:00:00,2.98,3.54
08-02-2022 02:30:00,1.59,2.45
08-02-2022 02:00:00,1.19,2.12
08-02-2022 01:30:00,1.36,2.43
08-02-2022 01:00:00,1.13,2.05
08-02-2022 00:30:00,2.51,4.36
08-02-2022 00:00:00,2.95,4.23
07-02-2022 23:30:00,2.26,3.25
07-02-2022 23:00:00,6.16,10.33
07-02-2022 22:30:00,7.0,9.96
07-02-2022 22:00:00,10.6,16.14
07-02-2022 21:30:00,5.99,9.31
07-02-2022 21:00:00,4.7,7.67
07-02-2022 20:30:00,4.05,6.79
07-02-2022 20:00:00,4.02,8.34
07-02-2022 19:30:00,4.67,7.4
07-02-2022 19:00:00,8.61,13.44
07-02-2022 18:30:00,8.01,13.73
07-02-2022 18:00:00,8.13,13.71
07-02-2022 17:30:00,9.6,14.94
07-02-2022 17:00:00,11.51,18.11
07-02-2022 16:30:00,17.17,28.02
07-02-2022 16:00:00,19.03,30.33
07-02-2022 15:30:00,16.24,28.55
07-02-2022 15:00:00,5.16,32.13
07-02-2022 14:30:00,14.57,26.12
07-02-2022 14:00:00,14.19,28.23
07-02-2022 13:30:00,8.97,18.23
07-02-2022 13:00:00,10.27,23.45
07-02-2022 12:30:00,13.37,26.32
07-02-2022 12:00:00,7.55,17.88
07-02-2022 11:30:00,8.49,16.26
07-02-2022 11:00:00,8.53,17.08
07-02-2022 10:30:00,9.81,17.42
07-02-2022 10:00:00,10.81,21.5
07-02-2022 09:30:00,17.29,28.78
07-02-2022 09:00:00,12.68,23.98
07-02-2022 08:30:00,12.66,23.54
07-02-2022 08:00:00,14.5,26.47
07-02-2022 07:30:00,12.79,23.77
07-02-2022 07:00:00,11.26,24.02
07-02-2022 06:30:00,9.01,21.04
07-02-2022 06:00:00,7.27,12.13
07-02-2022 05:30:00,5.57,11.42
07-02-2022 04:30:00,2.98,4.69
07-02-2022 04:00:00,3.75,3.73
07-02-2022 03:30:00,2.51,2.7
07-02-2022 02:30:00,1.93,1.38
07-02-2022 02:00:00,2.01,0.8
07-02-2022 01:30:00,2.39,2.28
07-02-2022 01:00:00,1.74,1.05
07-02-2022 00:30:00,2.33,1.68
07-02-2022 00:00:00,2.08,1.24
06-02-2022 23:30:00,4.28,4.88
06-02-2022 23:00:00,7.38,8.47
06-02-2022 22:30:00,6.56,7.73
06-02-2022 22:00:00,4.04,5.51
06-02-2022 21:30:00,6.04,7.67
06-02-2022 21:00:00,7.15,8.45
06-02-2022 20:30:00,8.24,9.77
06-02-2022 20:00:00,9.68,12.34
06-02-2022 19:30:00,10.5,13.12
06-02-2022 19:00:00,11.72,14.08
06-02-2022 18:30:00,12.26,15.11
06-02-2022 18:00:00,12.3,15.32
06-02-2022 17:30:00,7.38,9.68
06-02-2022 17:00:00,8.99,11.99
06-02-2022 16:30:00,7.98,9.96
06-02-2022 16:00:00,9.2,12.11
06-02-2022 15:30:00,11.46,15.19
06-02-2022 15:00:00,9.26,12.3
06-02-2022 14:30:00,10.31,14.52
06-02-2022 14:00:00,8.63,11.65
06-02-2022 13:30:00,17.17,22.7
06-02-2022 13:00:00,13.04,16.77
06-02-2022 12:30:00,13.62,19.05
06-02-2022 12:00:00,12.11,17.75
06-02-2022 11:30:00,16.26,22.7
06-02-2022 11:00:00,14.55,21.11
06-02-2022 10:30:00,5.83,8.2
06-02-2022 10:00:00,5.68,6.58
06-02-2022 09:30:00,5.99,7.06
06-02-2022 09:00:00,8.2,9.98
06-02-2022 08:30:00,11.0,14.59
06-02-2022 08:00:00,3.9,3.82
06-02-2022 07:30:00,7.76,8.53
06-02-2022 07:00:00,4.97,5.14
06-02-2022 06:30:00,4.72,4.25
06-02-2022 06:00:00,3.35,2.52
06-02-2022 05:30:00,2.68,2.18
06-02-2022 05:00:00,3.54,2.75
06-02-2022 04:30:00,3.58,2.6
06-02-2022 03:30:00,2.7,3.39
06-02-2022 03:00:00,1.61,1.95
06-02-2022 02:30:00,1.49,1.74
06-02-2022 02:00:00,1.63,2.01
06-02-2022 01:30:00,2.26,2.05
06-02-2022 01:00:00,1.95,3.0
06-02-2022 00:30:00,2.77,4.26
06-02-2022 00:00:00,3.0,3.81
05-02-2022 23:30:00,3.16,4.84
05-02-2022 23:00:00,4.02,4.78
05-02-2022 22:30:00,6.04,8.89
05-02-2022 22:00:00,7.21,11.51
05-02-2022 21:30:00,7.52,11.53
05-02-2022 21:00:00,7.55,11.55
05-02-2022 20:30:00,6.31,8.57
05-02-2022 20:00:00,5.95,8.19
05-02-2022 19:30:00,7.55,11.09
05-02-2022 19:00:00,7.5,11.88
05-02-2022 18:30:00,9.73,14.92
05-02-2022 18:00:00,10.38,16.06
05-02-2022 17:30:00,10.69,16.2
05-02-2022 17:00:00,10.37,15.11
05-02-2022 16:30:00,8.11,11.59
05-02-2022 16:00:00,5.99,8.66
05-02-2022 15:30:00,6.67,11.05
05-02-2022 15:00:00,5.14,7.82
05-02-2022 14:30:00,6.31,9.45
05-02-2022 14:00:00,3.98,6.71
05-02-2022 13:30:00,4.04,6.69
05-02-2022 13:00:00,4.82,8.4
05-02-2022 12:30:00,7.17,11.51
05-02-2022 12:00:00,9.91,15.17
05-02-2022 11:30:00,4.13,6.62
05-02-2022 11:00:00,4.34,6.33
05-02-2022 10:30:00,5.11,8.26
05-02-2022 10:00:00,5.32,8.28
05-02-2022 09:30:00,3.88,6.16
05-02-2022 09:00:00,3.71,5.95
05-02-2022 08:30:00,4.84,6.35
05-02-2022 08:00:00,4.92,5.99
05-02-2022 07:30:00,3.4,4.05
05-02-2022 07:00:00,2.41,2.39
05-02-2022 06:30:00,2.87,4.21
05-02-2022 05:30:00,1.2,1.61
05-02-2022 05:00:00,1.57,2.54
05-02-2022 04:30:00,0.36,1.22
05-02-2022 04:00:00,2.22,3.39
05-02-2022 03:30:00,2.3,3.39
05-02-2022 03:00:00,1.76,3.77
05-02-2022 02:30:00,1.01,2.56
05-02-2022 02:00:00,1.61,2.98
05-02-2022 01:30:00,1.09,2.72
05-02-2022 01:00:00,2.07,4.57
05-02-2022 00:30:00,2.91,4.78
05-02-2022 00:00:00,5.34,8.87
04-02-2022 23:30:00,5.85,9.7
04-02-2022 23:00:00,6.43,10.92
04-02-2022 22:30:00,4.99,8.19
04-02-2022 22:00:00,6.23,10.44
04-02-2022 21:30:00,6.43,10.75
04-02-2022 21:00:00,7.86,13.08
04-02-2022 20:30:00,6.87,10.12
04-02-2022 20:00:00,8.87,12.83
04-02-2022 19:30:00,14.54,21.76
04-02-2022 19:00:00,15.66,25.0
04-02-2022 18:30:00,12.74,19.3
04-02-2022 18:00:00,17.04,23.91
04-02-2022 17:30:00,26.76,38.15
04-02-2022 17:00:00,16.06,22.61
04-02-2022 16:30:00,18.76,27.77
04-02-2022 16:00:00,20.92,30.87
04-02-2022 15:30:00,21.63,34.48
04-02-2022 15:00:00,17.52,27.39
04-02-2022 14:30:00,14.08,22.62
04-02-2022 14:00:00,8.89,14.94
04-02-2022 13:30:00,12.07,18.32
04-02-2022 13:00:00,10.29,14.76
04-02-2022 12:30:00,9.41,14.94
04-02-2022 12:00:00,10.14,17.25
04-02-2022 11:30:00,10.06,14.17
04-02-2022 11:00:00,20.04,32.03
04-02-2022 10:30:00,15.84,26.07
04-02-2022 10:00:00,10.79,15.01
04-02-2022 09:30:00,21.08,32.51
04-02-2022 09:00:00,10.84,16.62
04-02-2022 08:30:00,12.05,18.4
04-02-2022 08:00:00,18.38,34.41
04-02-2022 07:30:00,21.06,35.13
04-02-2022 07:00:00,17.69,30.68
04-02-2022 06:30:00,15.78,25.32
04-02-2022 06:00:00,15.49,25.05
04-02-2022 05:30:00,8.22,13.75
04-02-2022 04:30:00,6.31,7.75
04-02-2022 04:00:00,5.3,4.78
04-02-2022 03:30:00,4.49,4.48
04-02-2022 03:00:00,3.81,5.18
04-02-2022 02:30:00,3.92,3.02
04-02-2022 02:00:00,4.05,3.44
04-02-2022 01:30:00,4.57,3.79
04-02-2022 01:00:00,4.04,2.7
04-02-2022 00:30:00,5.43,6.35
04-02-2022 00:00:00,4.63,4.25
03-02-2022 23:30:00,5.6,6.71
03-02-2022 23:00:00,11.63,16.08
03-02-2022 22:30:00,10.08,14.17
03-02-2022 22:00:00,12.99,20.25
03-02-2022 21:30:00,9.81,11.99
03-02-2022 21:00:00,10.04,13.1
03-02-2022 20:30:00,10.69,14.17
03-02-2022 20:00:00,9.56,12.28
03-02-2022 19:30:00,10.12,12.95
03-02-2022 19:00:00,12.07,16.54
03-02-2022 18:30:00,12.55,15.91
03-02-2022 18:00:00,11.99,16.64
03-02-2022 17:30:00,14.59,21.9
03-02-2022 17:00:00,14.23,19.03
03-02-2022 16:30:00,14.55,21.15
03-02-2022 16:00:00,13.06,20.02
03-02-2022 15:30:00,13.2,20.29
03-02-2022 15:00:00,11.74,18.07
03-02-2022 14:30:00,11.78,16.73
03-02-2022 14:00:00,11.55,16.94
03-02-2022 13:30:00,10.29,15.8
03-02-2022 13:00:00,15.11,24.38
03-02-2022 12:30:00,15.28,23.91
03-02-2022 12:00:00,22.11,39.95
03-02-2022 11:30:00,45.35,92.62
03-02-2022 11:00:00,34.46,125.65
03-02-2022 10:30:00,44.66,105.13
03-02-2022 10:00:00,28.74,71.97
03-02-2022 09:30:00,54.87,171.7
03-02-2022 09:00:00,26.78,100.69
03-02-2022 08:30:00,39.93,72.75
03-02-2022 08:00:00,40.41,89.91
03-02-2022 07:30:00,34.16,85.64
03-02-2022 07:00:00,43.18,90.56
03-02-2022 06:30:00,42.19,114.9
03-02-2022 06:00:00,55.86,108.96
03-02-2022 05:30:00,34.46,55.98
03-02-2022 05:00:00,18.47,26.05
03-02-2022 04:30:00,21.61,26.51
03-02-2022 03:30:00,7.48,7.54
03-02-2022 03:00:00,3.56,3.6
03-02-2022 02:30:00,2.3,1.82
03-02-2022 02:00:00,2.1,1.66
03-02-2022 01:30:00,3.16,2.91
03-02-2022 01:00:00,3.31,3.19
03-02-2022 00:30:00,3.42,4.0
03-02-2022 00:00:00,2.72,3.12
02-02-2022 23:30:00,2.26,2.43
02-02-2022 23:00:00,5.51,8.76
02-02-2022 22:30:00,5.14,6.85
02-02-2022 22:00:00,7.02,10.5
02-02-2022 21:30:00,6.66,9.45
02-02-2022 21:00:00,9.45,15.09
02-02-2022 20:30:00,12.57,17.38
02-02-2022 20:00:00,9.18,11.59
02-02-2022 19:30:00,11.99,16.26
02-02-2022 19:00:00,11.9,16.1
02-02-2022 18:30:00,12.57,17.77
02-02-2022 18:00:00,14.44,21.04
02-02-2022 17:30:00,16.37,25.15
02-02-2022 17:00:00,21.67,33.79
02-02-2022 16:30:00,25.76,42.92
02-02-2022 16:00:00,26.03,43.89
02-02-2022 15:30:00,18.78,30.94
02-02-2022 15:00:00,17.29,26.85
02-02-2022 14:30:00,13.6,21.02
02-02-2022 14:00:00,16.94,28.17
02-02-2022 13:30:00,12.05,17.92
02-02-2022 13:00:00,16.91,26.74
02-02-2022 12:30:00,11.34,21.02
02-02-2022 12:00:00,17.04,33.93
02-02-2022 11:30:00,12.53,21.94
