station_id,Recorded,NO2,NOx
Oesterbro,2022-01-19 02:30:00,8.45,8.7
Oesterbro,2022-01-19 03:00:00,8.93,8.78
Vesterbro,2022-01-19 03:00:00,9.64,10.65
Vesterbro,2022-01-19 03:30:00,11.63,12.49
Oesterbro,2022-01-19 03:30:00,10.48,10.63
Oesterbro,2022-01-19 04:00:00,12.66,12.83
Vesterbro,2022-01-19 04:30:00,17.92,22.87
Oesterbro,2022-01-19 04:30:00,15.05,15.59
Vesterbro,2022-01-19 05:00:00,17.02,21.17
Oesterbro,2022-01-19 05:00:00,14.57,14.61
Vesterbro,2022-01-19 05:30:00,16.66,22.61
Oesterbro,2022-01-19 05:30:00,14.44,15.22
Vesterbro,2022-01-19 06:00:00,18.7,26.12
Vesterbro,2022-01-19 06:30:00,16.16,24.27
Oesterbro,2022-01-19 06:30:00,12.55,13.46
Oesterbro,2022-01-19 07:00:00,,
Vesterbro,2022-01-19 07:00:00,13.06,21.76
Vesterbro,2022-01-19 07:30:00,15.26,24.02
Oesterbro,2022-01-19 07:30:00,,
Vesterbro,2022-01-19 08:00:00,13.0,20.48
Oesterbro,2022-01-19 08:00:00,,
Vesterbro,2022-01-19 08:30:00,12.93,19.03
Oesterbro,2022-01-19 08:30:00,,
Vesterbro,2022-01-19 09:00:00,13.0,20.75
Oesterbro,2022-01-19 09:00:00,10.23,11.15
Vesterbro,2022-01-19 09:30:00,13.64,20.56
Oesterbro,2022-01-19 09:30:00,9.94,11.11
Vesterbro,2022-01-19 10:00:00,13.06,19.66
Vesterbro,2022-01-19 10:30:00,11.38,16.87
Vesterbro,2022-01-19 11:00:00,9.87,16.43
Vesterbro,2022-01-19 11:30:00,9.1,15.28
Vesterbro,2022-01-19 12:00:00,11.7,19.28
Oesterbro,2022-01-19 12:00:00,6.9,8.13
Vesterbro,2022-01-19 12:30:00,13.37,22.66
Oesterbro,2022-01-19 12:30:00,6.88,8.78
Vesterbro,2022-01-19 13:00:00,11.95,20.92
Oesterbro,2022-01-19 13:00:00,6.94,7.9
Vesterbro,2022-01-19 13:30:00,14.19,22.99
Oesterbro,2022-01-19 13:30:00,7.34,8.05
Oesterbro,2022-01-19 14:00:00,8.38,10.1
Vesterbro,2022-01-19 14:00:00,16.31,31.75
Vesterbro,2022-01-19 14:30:00,14.61,25.03
Oesterbro,2022-01-19 14:30:00,7.69,9.18
Vesterbro,2022-01-19 15:00:00,14.67,27.0
Oesterbro,2022-01-19 15:00:00,7.82,9.58
Oesterbro,2022-01-19 15:30:00,7.8,9.54
Vesterbro,2022-01-19 15:30:00,11.55,20.18
Vesterbro,2022-01-19 16:00:00,9.05,15.53
Oesterbro,2022-01-19 16:00:00,6.67,7.21
Vesterbro,2022-01-19 16:30:00,7.31,12.35
Oesterbro,2022-01-19 16:30:00,3.98,4.38
Vesterbro,2022-01-19 17:00:00,6.18,8.99
