station_id,Recorded,NO2,NOx
Oesterbro,2020-01-16 12:00:00,63.23,7.51
Vesterbro,2020-01-16 12:30:00,10.67,17.95
Oesterbro,2020-01-16 12:30:00,61.67,8.76
Vesterbro,2020-01-16 13:00:00,8.62,14.31
Oesterbro,2020-01-16 13:00:00,62.86,7.12
Oesterbro,2020-01-16 13:30:00,58.86,10.35
Vesterbro,2020-01-16 13:30:00,9.16,18.12
Oesterbro,2020-01-16 14:00:00,57.18,11.4
Vesterbro,2020-01-16 14:00:00,13.97,26.86
Oesterbro,2020-01-16 14:30:00,59.12,9.66
Vesterbro,2020-01-16 14:30:00,12.53,21.58
Oesterbro,2020-01-16 15:00:00,53.25,14.48
Vesterbro,2020-01-16 15:00:00,22.06,40.61
Vesterbro,2020-01-16 15:30:00,30.99,59.0
Oesterbro,2020-01-16 15:30:00,51.66,14.77
Vesterbro,2020-01-16 16:00:00,31.68,51.24
Oesterbro,2020-01-16 16:00:00,50.12,14.83
Vesterbro,2020-01-16 16:30:00,36.25,63.89
Oesterbro,2020-01-16 16:30:00,43.51,20.98
Oesterbro,2020-01-16 17:00:00,47.25,18.66
Vesterbro,2020-01-16 17:00:00,30.6,54.43
Vesterbro,2020-01-16 17:30:00,33.95,56.44
Oesterbro,2020-01-16 17:30:00,49.81,14.89
Vesterbro,2020-01-16 18:00:00,35.03,55.8
Oesterbro,2020-01-16 18:00:00,42.88,20.39
Vesterbro,2020-01-16 18:30:00,44.91,81.36
Oesterbro,2020-01-16 18:30:00,47.06,14.91
Vesterbro,2020-01-16 19:00:00,29.54,43.18
Oesterbro,2020-01-16 19:00:00,51.21,12.37
Oesterbro,2020-01-16 19:30:00,54.83,10.51
Vesterbro,2020-01-16 19:30:00,32.11,52.54
Oesterbro,2020-01-16 20:00:00,56.33,8.58
Vesterbro,2020-01-16 20:00:00,33.03,69.63
Oesterbro,2020-01-16 20:30:00,56.53,8.53
Vesterbro,2020-01-16 20:30:00,19.22,41.33
Vesterbro,2020-01-16 21:00:00,22.16,50.86
Oesterbro,2020-01-16 21:00:00,57.48,6.95
Oesterbro,2020-01-16 21:30:00,56.91,6.98
Vesterbro,2020-01-16 21:30:00,20.46,49.49
Vesterbro,2020-01-16 22:00:00,18.1,39.5
Oesterbro,2020-01-16 22:00:00,55.44,7.06
Oesterbro,2020-01-16 22:30:00,51.23,8.81
Vesterbro,2020-01-16 22:30:00,13.57,27.91
Vesterbro,2020-01-16 23:00:00,13.6,36.75
Oesterbro,2020-01-16 23:00:00,50.64,8.48
Vesterbro,2020-01-16 23:30:00,12.12,21.01
Oesterbro,2020-01-16 23:30:00,47.59,9.29
Vesterbro,2020-01-17 00:00:00,12.06,18.4
Oesterbro,2020-01-17 00:00:00,45.44,9.56
Vesterbro,2020-01-17 00:30:00,11.05,18.95
Oesterbro,2020-01-17 00:30:00,44.9,10.15
Oesterbro,2020-01-17 01:00:00,,10.17
Vesterbro,2020-01-17 01:30:00,10.59,12.59
Oesterbro,2020-01-17 01:30:00,43.24,9.77
Oesterbro,2020-01-17 02:00:00,43.68,9.44
Vesterbro,2020-01-17 02:00:00,9.68,11.63
Oesterbro,2020-01-17 02:30:00,45.75,8.44
Vesterbro,2020-01-17 02:30:00,9.18,11.52
Oesterbro,2020-01-17 03:00:00,46.9,8.16
Vesterbro,2020-01-17 03:00:00,9.72,13.33
Oesterbro,2020-01-17 03:30:00,46.59,7.87
Vesterbro,2020-01-17 03:30:00,10.88,15.63
Vesterbro,2020-01-17 04:30:00,12.65,16.28
Oesterbro,2020-01-17 04:30:00,45.54,7.56
Oesterbro,2020-01-17 05:00:00,44.84,7.95
Vesterbro,2020-01-17 05:00:00,19.01,27.47
Vesterbro,2020-01-17 05:30:00,6.43,31.87
Oesterbro,2020-01-17 05:30:00,43.74,9.46
Oesterbro,2020-01-17 06:00:00,40.49,12.11
Vesterbro,2020-01-17 06:00:00,30.74,66.09
Oesterbro,2020-01-17 06:30:00,35.76,15.42
Vesterbro,2020-01-17 06:30:00,37.34,84.13
Vesterbro,2020-01-17 07:00:00,35.7,79.36
Oesterbro,2020-01-17 07:00:00,29.12,21.89
Vesterbro,2020-01-17 07:30:00,44.2,101.35
Oesterbro,2020-01-17 07:30:00,29.12,20.5
Vesterbro,2020-01-17 08:00:00,34.81,86.97
Oesterbro,2020-01-17 08:00:00,27.34,20.92
Vesterbro,2020-01-17 08:30:00,39.09,87.62
Oesterbro,2020-01-17 08:30:00,27.18,20.4
Vesterbro,2020-01-17 09:00:00,37.85,74.91
Oesterbro,2020-01-17 09:00:00,25.81,21.35
Vesterbro,2020-01-17 09:30:00,45.62,135.83
Oesterbro,2020-01-17 09:30:00,25.18,20.88
Oesterbro,2020-01-17 10:00:00,26.09,20.51
Vesterbro,2020-01-17 10:00:00,29.43,77.64
Oesterbro,2020-01-17 10:30:00,29.36,18.22
Vesterbro,2020-01-17 10:30:00,38.97,102.5
Vesterbro,2020-01-17 11:00:00,41.26,86.81
Oesterbro,2020-01-17 11:00:00,28.7,19.08
Oesterbro,2020-01-17 11:30:00,29.67,19.43
Vesterbro,2020-01-17 11:30:00,41.37,106.88
Vesterbro,2020-01-17 12:00:00,26.62,112.75
Oesterbro,2020-01-17 12:00:00,32.07,17.84
Oesterbro,2020-01-17 12:30:00,32.2,18.16
Vesterbro,2020-01-17 12:30:00,37.73,88.18
Oesterbro,2020-01-17 13:00:00,29.93,20.88
Vesterbro,2020-01-17 13:00:00,42.69,89.16
Vesterbro,2020-01-17 13:30:00,42.22,95.11
Oesterbro,2020-01-17 13:30:00,33.73,18.8
Oesterbro,2020-01-17 14:00:00,31.87,21.91
Vesterbro,2020-01-17 14:00:00,46.34,111.76
Vesterbro,2020-01-17 14:30:00,28.27,156.36
Oesterbro,2020-01-17 14:30:00,34.01,20.6
Vesterbro,2020-01-17 15:00:00,45.55,115.86
Oesterbro,2020-01-17 15:00:00,33.35,21.43
Vesterbro,2020-01-17 15:30:00,43.0,101.88
Oesterbro,2020-01-17 15:30:00,31.1,23.65
Vesterbro,2020-01-17 16:00:00,45.02,112.51
Oesterbro,2020-01-17 16:00:00,30.8,23.36
Vesterbro,2020-01-17 16:30:00,42.34,111.61
Oesterbro,2020-01-17 16:30:00,28.71,24.83
Oesterbro,2020-01-17 17:00:00,29.04,24.06
Vesterbro,2020-01-17 17:00:00,47.37,101.48
Oesterbro,2020-01-17 17:30:00,29.1,23.13
Vesterbro,2020-01-17 17:30:00,44.0,107.07
Vesterbro,2020-01-17 18:00:00,42.32,98.41
Oesterbro,2020-01-17 18:00:00,29.08,22.2
Vesterbro,2020-01-17 18:30:00,39.55,76.9
Oesterbro,2020-01-17 18:30:00,27.56,22.57
Oesterbro,2020-01-17 19:00:00,29.32,19.85
Vesterbro,2020-01-17 19:00:00,46.71,85.01
Oesterbro,2020-01-17 19:30:00,29.46,18.82
Vesterbro,2020-01-17 19:30:00,31.6,54.31
Oesterbro,2020-01-17 20:00:00,27.34,19.0
Vesterbro,2020-01-17 20:00:00,32.86,74.73
Oesterbro,2020-01-17 20:30:00,27.64,17.4
Vesterbro,2020-01-17 20:30:00,24.91,56.86
Oesterbro,2020-01-17 21:00:00,28.17,16.48
Vesterbro,2020-01-17 21:00:00,23.89,40.17
Vesterbro,2020-01-17 21:30:00,28.9,50.17
Oesterbro,2020-01-17 21:30:00,27.24,15.66
Vesterbro,2020-01-17 22:00:00,21.74,33.23
Oesterbro,2020-01-17 22:00:00,27.92,15.56
Vesterbro,2020-01-17 22:30:00,16.94,25.77
Oesterbro,2020-01-17 22:30:00,31.62,13.1
Vesterbro,2020-01-17 23:00:00,15.7,24.09
Oesterbro,2020-01-17 23:00:00,32.88,13.28
Oesterbro,2020-01-17 23:30:00,34.76,13.68
Vesterbro,2020-01-17 23:30:00,14.74,23.5
Vesterbro,2020-01-18 00:00:00,12.15,18.98
Oesterbro,2020-01-18 00:00:00,47.21,9.77
Oesterbro,2020-01-18 00:30:00,53.99,7.98
Vesterbro,2020-01-18 00:30:00,9.47,12.78
Vesterbro,2020-01-18 01:00:00,12.85,20.62
Oesterbro,2020-01-18 01:00:00,54.78,6.2
Oesterbro,2020-01-18 01:30:00,52.47,5.53
Vesterbro,2020-01-18 01:30:00,10.82,16.86
Vesterbro,2020-01-18 02:00:00,8.25,10.84
Oesterbro,2020-01-18 02:00:00,,5.91
Oesterbro,2020-01-18 02:30:00,49.46,5.97
Vesterbro,2020-01-18 02:30:00,7.96,9.98
Vesterbro,2020-01-18 03:00:00,7.96,10.88
Oesterbro,2020-01-18 03:00:00,51.34,6.07
Oesterbro,2020-01-18 03:30:00,61.25,4.9
Vesterbro,2020-01-18 03:30:00,6.72,9.5
Oesterbro,2020-01-18 04:00:00,62.05,4.53
Vesterbro,2020-01-18 04:00:00,7.85,10.18
Vesterbro,2020-01-18 04:30:00,10.92,15.73
Oesterbro,2020-01-18 04:30:00,61.1,4.55
Oesterbro,2020-01-18 05:30:00,59.65,5.21
Vesterbro,2020-01-18 05:30:00,10.96,16.76
Oesterbro,2020-01-18 06:00:00,62.76,4.94
Vesterbro,2020-01-18 06:00:00,9.79,13.94
Vesterbro,2020-01-18 06:30:00,16.07,22.24
Oesterbro,2020-01-18 06:30:00,62.84,4.53
Vesterbro,2020-01-18 07:00:00,13.29,18.0
Oesterbro,2020-01-18 07:00:00,62.28,4.8
Vesterbro,2020-01-18 07:30:00,10.08,14.33
Oesterbro,2020-01-18 07:30:00,66.4,3.77
Oesterbro,2020-01-18 08:00:00,71.66,3.42
Vesterbro,2020-01-18 08:00:00,5.42,6.99
Oesterbro,2020-01-18 08:30:00,71.76,4.34
Vesterbro,2020-01-18 08:30:00,9.42,13.41
Vesterbro,2020-01-18 09:00:00,8.64,12.21
Oesterbro,2020-01-18 09:00:00,71.33,5.61
Vesterbro,2020-01-18 09:30:00,5.23,7.78
