Recorded;NO2;NOx;O3
12-05-2020 12:00:00;5.54;6.89;78.42
12-05-2020 11:30:00;3.66;4.53;81.91
12-05-2020 11:00:00;3.7;5.01;81.83
12-05-2020 10:30:00;3.04;4.61;81.75
12-05-2020 10:00:00;2.72;3.82;81.25
12-05-2020 09:30:00;2.78;3.86;83.23
12-05-2020 09:00:00;2.51;3.17;87.15
12-05-2020 08:30:00;3.51;4.61;84.96
12-05-2020 08:00:00;4.06;5.09;82.8
12-05-2020 07:30:00;4.89;6.17;81.05
12-05-2020 07:00:00;4.56;5.4;81.87
12-05-2020 06:30:00;5.62;6.72;80.6
12-05-2020 06:00:00;5.33;6.69;80.52
12-05-2020 05:30:00;4.53;5.61;79.65
12-05-2020 04:30:00;3.6;3.48;72.46
12-05-2020 04:00:00;3.16;3.53;72.86
12-05-2020 03:30:00;1.63;1.86;73.23
12-05-2020 03:00:00;1.74;1.34;71.98
12-05-2020 02:30:00;1.89;2.04;69.07
12-05-2020 02:00:00;2.05;2.32;
12-05-2020 01:30:00;1.72;1.31;64.93
12-05-2020 01:00:00;1.93;2.25;63.69
12-05-2020 00:30:00;2.28;2.19;58.89
12-05-2020 00:00:00;2.78;2.55;50.83
11-05-2020 23:30:00;3.33;3.59;49.35
11-05-2020 23:00:00;3.89;4.11;50.76
11-05-2020 22:30:00;4.01;4.13;49.57
11-05-2020 22:00:00;6.59;6.4;47.33
11-05-2020 21:30:00;5.97;6.04;47.73
11-05-2020 21:00:00;5.1;5.21;50.18
11-05-2020 20:30:00;3.85;4.42;52.46
11-05-2020 20:00:00;2.26;2.25;55.03
11-05-2020 19:30:00;2.41;2.77;53.27
11-05-2020 19:00:00;1.89;2.19;52.85
11-05-2020 18:30:00;2.43;3.13;53.11
11-05-2020 18:00:00;2.43;3.02;54.82
11-05-2020 17:30:00;2.32;3.15;54.95
11-05-2020 17:00:00;2.12;3.44;53.17
11-05-2020 16:30:00;2.62;3.83;54.2
11-05-2020 16:00:00;2.79;4.33;53.05
11-05-2020 15:30:00;2.01;3.04;54.1
11-05-2020 15:00:00;3.31;5.11;54.76
11-05-2020 14:30:00;2.64;4.58;55.33
11-05-2020 14:00:00;2.48;3.96;54.89
11-05-2020 13:30:00;2.46;4.27;57.19
11-05-2020 13:00:00;2.75;4.44;59.33
11-05-2020 12:30:00;2.54;4.08;59.09
11-05-2020 12:00:00;3.39;5.52;57.94
11-05-2020 11:30:00;2.41;3.89;59.73
11-05-2020 11:00:00;2.12;3.0;60.66
11-05-2020 10:30:00;2.2;2.96;59.11
11-05-2020 10:00:00;2.62;3.81;57.79
11-05-2020 09:30:00;2.62;4.16;58.7
11-05-2020 09:00:00;3.35;4.52;59.98
11-05-2020 08:30:00;2.69;4.25;60.34
11-05-2020 08:00:00;2.85;3.98;61.75
11-05-2020 07:30:00;5.32;8.33;54.89
11-05-2020 07:00:00;6.25;8.79;53.62
11-05-2020 06:30:00;7.92;11.27;53.03
11-05-2020 06:00:00;10.3;12.86;52.49
11-05-2020 05:30:00;9.21;10.87;53.05
11-05-2020 05:00:00;6.64;7.44;55.8
11-05-2020 04:30:00;4.45;4.18;60.88
11-05-2020 03:30:00;2.56;2.62;62.58
11-05-2020 03:00:00;3.1;3.31;61.35
11-05-2020 02:30:00;2.39;2.52;60.1
11-05-2020 02:00:00;2.68;2.72;58.7
11-05-2020 01:30:00;1.74;1.87;61.51
11-05-2020 01:00:00;2.14;2.31;
11-05-2020 00:30:00;2.6;2.78;63.81
11-05-2020 00:00:00;2.14;2.06;68.55
10-05-2020 23:30:00;1.51;1.53;73.56
10-05-2020 23:00:00;2.53;2.6;69.14
10-05-2020 22:30:00;2.83;3.03;70.63
10-05-2020 22:00:00;3.53;3.39;68.37
10-05-2020 21:30:00;3.85;3.53;65.77
10-05-2020 21:00:00;3.45;3.28;69.3
10-05-2020 20:30:00;3.52;3.85;69.72
10-05-2020 20:00:00;3.56;3.62;72.14
10-05-2020 19:30:00;3.54;3.83;73.15
10-05-2020 19:00:00;3.02;3.3;76.62
10-05-2020 18:30:00;4.06;4.64;73.76
10-05-2020 18:00:00;3.03;3.08;74.22
10-05-2020 17:30:00;2.83;3.33;74.42
10-05-2020 17:00:00;3.31;3.74;74.12
10-05-2020 16:30:00;3.37;3.68;73.76
10-05-2020 16:00:00;2.12;2.51;74.58
10-05-2020 15:30:00;2.06;2.2;74.16
10-05-2020 15:00:00;1.97;2.05;73.92
10-05-2020 14:30:00;2.35;2.84;74.28
10-05-2020 14:00:00;2.01;2.53;77.51
10-05-2020 13:30:00;1.87;2.28;80.03
10-05-2020 13:00:00;2.08;2.47;80.8
10-05-2020 12:30:00;2.37;2.51;80.96
10-05-2020 12:00:00;1.89;2.49;80.7
10-05-2020 11:30:00;2.25;3.01;79.91
10-05-2020 11:00:00;3.98;4.26;78.16
10-05-2020 10:30:00;3.43;3.84;81.47
10-05-2020 10:00:00;3.74;3.67;80.38
10-05-2020 09:30:00;3.56;3.34;80.52
10-05-2020 09:00:00;4.18;4.32;83.4
10-05-2020 08:30:00;3.81;4.03;81.65
10-05-2020 08:00:00;3.35;3.76;77.63
10-05-2020 07:30:00;3.18;3.38;77.19
10-05-2020 07:00:00;3.89;4.53;75.76
10-05-2020 06:30:00;5.48;6.01;75.01
10-05-2020 05:30:00;6.73;7.66;58.86
10-05-2020 05:00:00;6.75;7.38;56.12
10-05-2020 04:30:00;7.69;8.2;53.96
10-05-2020 04:00:00;8.42;8.4;49.82
10-05-2020 03:30:00;9.56;9.74;43.95
10-05-2020 03:00:00;14.46;15.58;
10-05-2020 02:30:00;13.02;13.22;40.92
10-05-2020 02:00:00;10.96;10.86;51.2
10-05-2020 01:30:00;9.4;9.82;58.04
10-05-2020 01:00:00;8.98;8.99;63.53
10-05-2020 00:30:00;11.15;10.89;67.97
10-05-2020 00:00:00;17.34;17.68;64.41
09-05-2020 23:30:00;6.58;6.36;77.05
09-05-2020 23:00:00;12.15;12.15;66.76
09-05-2020 22:30:00;15.81;15.74;58.06
09-05-2020 22:00:00;17.63;18.01;54.71
09-05-2020 21:30:00;15.32;15.72;62.23
09-05-2020 21:00:00;12.36;12.49;69.46
09-05-2020 20:30:00;10.46;10.45;72.89
09-05-2020 20:00:00;12.07;12.38;71.68
09-05-2020 19:30:00;10.02;10.26;73.72
09-05-2020 19:00:00;5.65;5.9;88.07
09-05-2020 18:30:00;4.77;4.92;90.93
09-05-2020 18:00:00;3.96;4.38;91.84
09-05-2020 17:30:00;2.62;3.0;91.48
09-05-2020 17:00:00;3.23;3.88;89.11
09-05-2020 16:30:00;3.43;4.04;89.92
09-05-2020 16:00:00;3.37;3.98;90.35
09-05-2020 15:30:00;2.92;3.29;90.41
09-05-2020 15:00:00;3.33;3.59;92.81
09-05-2020 14:30:00;3.4;4.11;92.12
09-05-2020 14:00:00;3.37;3.9;93.11
09-05-2020 13:30:00;3.23;3.92;91.27
09-05-2020 13:00:00;2.62;3.27;90.12
09-05-2020 12:30:00;3.23;3.54;90.06
09-05-2020 12:00:00;3.06;4.1;89.76
09-05-2020 11:30:00;2.73;3.19;89.2
09-05-2020 11:00:00;2.54;3.0;88.45
09-05-2020 10:30:00;2.58;3.29;88.41
09-05-2020 10:00:00;2.94;4.08;87.96
09-05-2020 09:30:00;2.85;3.88;87.96
09-05-2020 09:00:00;2.4;3.25;86.01
09-05-2020 08:30:00;3.52;3.79;84.09
09-05-2020 08:00:00;2.33;2.52;85.74
09-05-2020 07:30:00;2.12;2.02;86.19
09-05-2020 07:00:00;3.02;3.27;83.54
09-05-2020 06:30:00;4.46;4.75;81.18
09-05-2020 06:00:00;3.46;3.83;82.99
09-05-2020 05:30:00;3.48;3.96;83.06
09-05-2020 04:30:00;4.81;5.39;82.17
09-05-2020 04:00:00;3.27;2.96;84.49
09-05-2020 03:30:00;3.62;3.6;84.69
09-05-2020 03:00:00;2.39;2.14;86.52
09-05-2020 02:30:00;2.54;2.62;85.94
09-05-2020 02:00:00;2.54;2.6;
09-05-2020 01:30:00;2.48;2.66;86.06
09-05-2020 01:00:00;2.27;2.47;86.36
09-05-2020 00:30:00;1.87;1.56;87.89
09-05-2020 00:00:00;1.92;1.85;88.54
08-05-2020 23:30:00;1.9;1.87;88.82
08-05-2020 23:00:00;3.21;3.27;86.8
08-05-2020 22:30:00;4.42;4.5;84.97
08-05-2020 22:00:00;3.85;4.16;84.55
08-05-2020 21:30:00;3.5;3.72;86.04
08-05-2020 21:00:00;4.46;4.56;86.95
08-05-2020 20:30:00;2.41;2.16;91.24
08-05-2020 20:00:00;2.75;3.01;90.98
08-05-2020 19:30:00;2.33;2.33;92.77
08-05-2020 19:00:00;2.19;2.43;94.06
08-05-2020 18:30:00;3.35;3.53;93.82
08-05-2020 18:00:00;2.85;3.22;95.31
08-05-2020 17:30:00;2.62;2.81;97.47
08-05-2020 17:00:00;2.41;2.76;98.7
08-05-2020 16:30:00;3.14;3.47;99.57
08-05-2020 16:00:00;2.86;3.33;100.19
08-05-2020 15:30:00;2.61;3.16;101.32
08-05-2020 15:00:00;3.38;4.14;98.66
08-05-2020 14:30:00;3.27;3.55;93.5
08-05-2020 14:00:00;3.84;4.45;94.3
08-05-2020 13:30:00;3.94;4.64;97.13
08-05-2020 13:00:00;3.86;4.22;102.53
08-05-2020 12:30:00;4.08;4.64;107.04
08-05-2020 12:00:00;3.94;4.74;110.03
08-05-2020 11:30:00;4.15;4.24;109.71
08-05-2020 11:00:00;4.73;5.36;105.82
08-05-2020 10:30:00;5.53;6.57;101.6
08-05-2020 10:00:00;5.3;5.95;101.1
08-05-2020 09:30:00;5.0;5.78;98.44
08-05-2020 09:00:00;3.96;4.61;97.47
08-05-2020 08:30:00;3.98;4.32;98.24
08-05-2020 08:00:00;3.78;4.43;97.71
08-05-2020 07:30:00;3.48;3.36;94.3
08-05-2020 07:00:00;3.02;3.16;92.51
08-05-2020 06:30:00;4.29;4.84;90.59
08-05-2020 06:00:00;3.0;3.07;90.23
08-05-2020 05:30:00;2.81;2.82;86.46
08-05-2020 05:00:00;3.75;4.3;85.11
08-05-2020 04:30:00;4.34;5.49;84.75
08-05-2020 03:30:00;2.35;2.28;78.58
08-05-2020 03:00:00;2.63;2.42;80.39
08-05-2020 02:30:00;2.02;1.78;81.18
08-05-2020 02:00:00;1.94;2.01;81.64
